species,pelvis
Hylobates lar,12.44
Hylobates lar,12.53
Hylobates lar,11.48
Hylobates lar,14.25
Hylobates lar,14.06
Hylobates lar,13.78
Hylobates lar,14.06
Hylobates lar,13.96
Hylobates lar,12.73
Macaca fascicularis  ,9.72
Macaca fascicularis  ,8.01
Macaca fascicularis  ,8.23
Macaca fascicularis  ,9.97
Macaca fascicularis  ,9.14
